Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.6522634029388428;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;0.7081387042999268;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.5607411861419678;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.4481031894683838;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.4395747184753418;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.2195708751678467;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.200812578201294;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.8004956245422363;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.1595630645751953;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.2622783184051514;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.8371021747589111;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.1052041053771973;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.3280105590820312;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.7284870147705078;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.241480827331543;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.199031114578247;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.6869885921478271;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.4845311641693115;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.9204676151275635;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.6226153373718262;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.4274208545684814;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.4154572486877441;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.9008150100708008;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.0893900394439697;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.6283628940582275;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.4527051448822021;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.2162094116210938;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;2.5661087036132812;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.9759039878845215;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.7294816970825195;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.7390806674957275;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.610741376876831;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.015500545501709;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.8712131977081299;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.7919011116027832;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.2661616802215576;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.154327869415283;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.7035250663757324;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.0975685119628906;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.095810890197754;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.3696339130401611;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.0789666175842285;0-3;Random bit-flip
neigh;salbp1-simulated-annealing.cpp;106;2.0270164012908936;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;0.918858528137207;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.2760610580444336;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.105222463607788;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.6046059131622314;0-3;Random bit-flip
