Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
seed;salbp1-simulated-annealing.cpp;21;1.5724315643310547;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.475470781326294;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;2.521216869354248;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.82769775390625;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;2.222628116607666;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.8484625816345215;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.5373942852020264;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.4671783447265625;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;2.0052363872528076;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.3497412204742432;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.8569209575653076;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.2485036849975586;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.2816998958587646;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.3888804912567139;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.3483896255493164;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.600529670715332;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.464505910873413;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.326829433441162;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.8474717140197754;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.8018500804901123;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.5038039684295654;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.3004238605499268;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.9391248226165771;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.2146415710449219;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.2054157257080078;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.1237871646881104;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.2676374912261963;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.6242289543151855;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.6364097595214844;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.8786273002624512;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.5877559185028076;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.8770051002502441;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.7391977310180664;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.2242302894592285;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.8936822414398193;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.8347351551055908;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.6512243747711182;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.2038812637329102;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.4940392971038818;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.6835436820983887;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.4492831230163574;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.2483603954315186;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.0394082069396973;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.2463035583496094;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.0680170059204102;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.318310260772705;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.9412052631378174;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.9834527969360352;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;3.166175603866577;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.4385480880737305;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.4195261001586914;0-3;Random bit-flip
best;salbp1-simulated-annealing.cpp;262;1.0732922554016113;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.54506516456604;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.5560052394866943;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.129932165145874;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.4807074069976807;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.5571444034576416;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.4656951427459717;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.1838579177856445;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.9080324172973633;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.0067987442016602;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.8819313049316406;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.8299534320831299;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.9363548755645752;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.5459649562835693;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.7773473262786865;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.745391845703125;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.150536298751831;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.9365992546081543;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.9368016719818115;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.2288224697113037;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.7129969596862793;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.8468163013458252;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.19002103805542;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.5258581638336182;0-3;Random bit-flip
best;salbp1-simulated-annealing.cpp;262;1.0731077194213867;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.2404677867889404;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.782433032989502;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;2.237325429916382;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.5400562286376953;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;3.0669734477996826;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.6326005458831787;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.853205919265747;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.9711213111877441;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.9450428485870361;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.0951478481292725;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.265842914581299;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.529083490371704;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.7173421382904053;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;2.159010410308838;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.5722224712371826;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;2.049394369125366;0-3;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;4689;1.1981570720672607;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.6864960193634033;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.2390899658203125;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.6114652156829834;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.3704986572265625;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.5429327487945557;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;0.9851787090301514;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.1292705535888672;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.4162523746490479;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.7814137935638428;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.7577335834503174;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.081991195678711;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.6947271823883057;0-3;Random bit-flip
