bitflips:;11242
Total SDCs:;99
Detected SDCs:;5
Crashes:;63
Simultaneous SDCs and Crashes:;0

FaultModels Undetected SDCs:
FaultModel ;#SDCs; percentage
Random bit-flip;94;94.94949494949495

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
Random bit-flip;5;5.05050505050505

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Random bit-flip;63;63.63636363636363

Variables that caused Undetected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
1.1627906976744187;86;1;__first;/usr/include/c++/5/bits/stl_algobase.h;391
5.0;20;1;__i;/usr/include/c++/5/bits/stl_iterator.h;740

Variables that caused Detected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
0.20833333333333334;960;2;this;instance.cpp;0
0.423728813559322;236;1;__xlen;/usr/include/c++/5/bits/vector.tcc;191
100.0;1;1;__first;/usr/include/c++/5/bits/stl_construct.h;100
100.0;1;1;disallow_malloc_check;hooks.c;68

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
0.9375;960;9;this;instance.cpp;0
0.5102040816326531;980;5;this;solution.cpp;0
5.714285714285714;70;4;__first;/usr/include/c++/5/bits/stl_algobase.h;462
0.7984031936127743;501;4;this;simulatedannealing.cpp;0
4.444444444444445;45;2;user_entry;../elf/dl-sysdep.c;89
0.847457627118644;236;2;__xlen;/usr/include/c++/5/bits/vector.tcc;191
3.3333333333333335;60;2;__first;/usr/include/c++/5/bits/stl_algobase.h;436
4.25531914893617;47;2;i;solution.cpp;40
5.555555555555555;36;2;_rtld_local;rtld.c;162
3.3333333333333335;60;2;__y;/usr/include/c++/5/bits/stl_vector.h;1511
1.3333333333333335;150;2;timeBefore;salbp1-sa.cpp;18
0.32679738562091504;306;1;newStation;solution.cpp;63
1.1627906976744187;86;1;__first;/usr/include/c++/5/bits/stl_algobase.h;391
3.225806451612903;31;1;__i;/usr/include/c++/5/bits/stl_algo.h;1861
0.9259259259259258;108;1;tasks;solution.cpp;11
100.0;1;1;__last;/usr/include/c++/5/bits/stl_uninitialized.h;279
2.127659574468085;47;1;_rtld_local_ro;rtld.c;202
