Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
neighbour;simulatedannealing.cpp;34;6.70880913734436;0-11;Random bit-flip;1
instance;solution.cpp;11;2.3643665313720703;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;3.2232069969177246;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;5.977762937545776;0-11;Random bit-flip;1
this;solution.cpp;0;3.0959715843200684;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.258857011795044;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;3.188535213470459;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;1.7052924633026123;0-11;Random bit-flip;1
this;solution.cpp;0;1.8275854587554932;0-11;Random bit-flip;1
this;solution.cpp;0;7.788329601287842;0-11;Random bit-flip;1
instance;solution.cpp;11;2.6358482837677;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;7.508388996124268;0-11;Random bit-flip;1
__last;/usr/include/c++/5/bits/stl_algo.h;1892;2.1852505207061768;0-11;Random bit-flip;1
instance;solution.cpp;11;4.580722808837891;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.563523530960083;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;1.5332627296447754;0-11;Random bit-flip;1
this;solution.cpp;0;3.847984790802002;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;4.959463834762573;0-11;Random bit-flip;1
instance;solution.cpp;11;6.137612581253052;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.4039382934570312;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algobase.h;373;3.574232578277588;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.38821005821228;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.532158613204956;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;1.987703561782837;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algo.h;1958;7.173670291900635;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.46547794342041;0-11;Random bit-flip;1
instance;solution.cpp;11;4.969999551773071;0-11;Random bit-flip;1
instance;solution.cpp;11;3.242457389831543;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.1428470611572266;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.90748929977417;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;1.1745238304138184;0-11;Random bit-flip;1
neigh;solution.cpp;65;3.5754458904266357;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;1.6432838439941406;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;4.940945386886597;0-11;Random bit-flip;1
neigh;solution.cpp;65;2.1433000564575195;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;2.6986169815063477;0-11;Random bit-flip;1
instance;solution.cpp;11;6.02767276763916;0-11;Random bit-flip;1
this;solution.cpp;0;2.1311349868774414;0-11;Random bit-flip;1
neigh;solution.cpp;65;2.2202820777893066;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;6.997488260269165;0-11;Random bit-flip;1
this;solution.cpp;0;4.461513996124268;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;4.019791841506958;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;2.774547815322876;0-11;Random bit-flip;1
instance;solution.cpp;11;5.012630462646484;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.7717998027801514;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.5526947975158691;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.453134059906006;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;3.309504985809326;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;10.386678695678711;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;1.2462844848632812;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.6665005683898926;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;5.8651862144470215;0-11;Random bit-flip;1
instance;solution.cpp;11;2.1880412101745605;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;3.960050582885742;0-11;Random bit-flip;1
this;solution.cpp;0;4.227488279342651;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;7.690061092376709;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algo.h;1891;1.4369699954986572;0-11;Random bit-flip;1
instance1;salbp1-sa.cpp;21;3.2466700077056885;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;7.907621622085571;0-11;Random bit-flip;1
this;solution.cpp;0;4.082273244857788;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;2.68733549118042;0-11;Random bit-flip;1
this;solution.cpp;0;2.8198626041412354;0-11;Random bit-flip;1
instance;solution.cpp;11;3.389726161956787;0-11;Random bit-flip;1
neighbour;simulatedannealing.cpp;34;4.466305494308472;0-11;Random bit-flip;1
instance;solution.cpp;11;7.369428396224976;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.8060073852539062;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;7.645098686218262;0-11;Random bit-flip;1
this;solution.cpp;0;3.499500036239624;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;2.6469199657440186;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;6.907872200012207;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.695798397064209;0-11;Random bit-flip;1
instance1;salbp1-sa.cpp;21;1.1155428886413574;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;3.754659414291382;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.8045337200164795;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;5.971434116363525;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.31915020942688;0-11;Random bit-flip;1
__cut;/usr/include/c++/5/bits/stl_algo.h;1947;2.0520401000976562;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;1.9413690567016602;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;6.616741895675659;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;4.460920333862305;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;1.9108130931854248;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.040316104888916;0-11;Random bit-flip;1
instance;solution.cpp;11;6.3340065479278564;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_algobase.h;462;3.3867647647857666;0-11;Random bit-flip;1
this;solution.cpp;0;6.4395527839660645;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;3.6501877307891846;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;5.403697729110718;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;2.6653099060058594;0-11;Random bit-flip;1
this;solution.cpp;0;3.234205722808838;0-11;Random bit-flip;1
__t;/usr/include/c++/5/bits/move.h;101;2.883070707321167;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;7.986608266830444;0-11;Random bit-flip;1
__first;/usr/include/c++/5/bits/stl_uninitialized.h;107;2.9002535343170166;0-11;Random bit-flip;1
neighbour;simulatedannealing.cpp;34;2.3746190071105957;0-11;Random bit-flip;1
this;solution.cpp;0;4.071224927902222;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;9.56836485862732;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;7.996810436248779;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;3.003626823425293;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;8.398518562316895;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.8792741298675537;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;7.208299160003662;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;0.883765459060669;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.501714706420898;0-11;Random bit-flip;1
instance1;salbp1-sa.cpp;21;2.5135488510131836;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;4.108987092971802;0-11;Random bit-flip;1
__i;/usr/include/c++/5/bits/stl_algo.h;1861;2.2351458072662354;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.3473188877105713;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.3892624378204346;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;5.0937840938568115;0-11;Random bit-flip;1
instance2;salbp1-sa.cpp;27;1.8536036014556885;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;2.4730007648468018;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;5.058368682861328;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;4.139590501785278;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;2.9988327026367188;0-11;Random bit-flip;1
sa1;salbp1-sa.cpp;23;1.8901379108428955;0-11;Random bit-flip;1
instance1;salbp1-sa.cpp;21;2.474616289138794;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;5.662806510925293;0-11;Random bit-flip;1
sa2;salbp1-sa.cpp;28;1.1762757301330566;0-11;Random bit-flip;1
this;simulatedannealing.cpp;0;1.6529788970947266;0-11;Random bit-flip;1
this;solution.cpp;0;2.4017882347106934;0-11;Random bit-flip;1
__i;/usr/include/c++/5/bits/stl_algo.h;1861;1.6037683486938477;0-11;Random bit-flip;1
