Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
tasks;solution.cpp;11;4.010897397994995;0-11;Random bit-flip
location;solution.cpp;62;3.052056312561035;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.6379594802856445;0-11;Random bit-flip
__t;/usr/include/c++/5/bits/move.h;101;1.892500638961792;0-11;Random bit-flip
this;simulatedannealing.cpp;0;7.5648088455200195;0-11;Random bit-flip
_dl_skip_args;rtld.c;84;1.1004502773284912;0-11;Random bit-flip
__n;/usr/include/c++/5/bits/stl_vector.h;779;2.481452703475952;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.567593097686768;0-11;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.5366106033325195;0-11;Random bit-flip
newTasks;solution.cpp;61;4.3748040199279785;0-11;Random bit-flip
this;solution.cpp;0;4.09472918510437;0-11;Random bit-flip
this;solution.cpp;0;3.6151340007781982;0-11;Random bit-flip
location;solution.cpp;62;3.593505382537842;0-11;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;4689;7.944514989852905;0-11;Random bit-flip
v;solution.cpp;33;9.50796627998352;0-11;Random bit-flip
i;solution.cpp;50;1.060086965560913;0-11;Random bit-flip
i;solution.cpp;40;1.5431787967681885;0-11;Random bit-flip
v;solution.cpp;33;1.2003941535949707;0-11;Random bit-flip
duration;salbp1-sa.cpp;40;3.1185312271118164;0-11;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;1958;2.4416663646698;0-11;Random bit-flip
newStation;solution.cpp;63;3.1711769104003906;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.159519672393799;0-11;Random bit-flip
instance;solution.cpp;11;4.335891962051392;0-11;Random bit-flip
this;solution.cpp;0;5.843995809555054;0-11;Random bit-flip
this;solution.cpp;0;5.57199239730835;0-11;Random bit-flip
__GI__dl_argv;rtld.c;83;1.127519130706787;0-11;Random bit-flip
this;instance.cpp;0;1.7183706760406494;0-11;Random bit-flip
this;solution.cpp;0;1.5678956508636475;0-11;Random bit-flip
__b;/usr/include/c++/5/bits/stl_algobase.h;120;1.9658679962158203;0-11;Random bit-flip
neigh;solution.cpp;65;3.9641904830932617;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;3.040325880050659;0-11;Random bit-flip
